date,title,link,found_in,keywords
"Mon, 22 De",Украшаем терминал к 2026: Пишем CLI-предсказатель на Python с библиотекой Rich,https://habr.com/ru/articles/979234/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979234,preview,python
"Mon, 22 De",Москву сжали до 93 МБ. Новый формат данных OpenStreetMap,https://habr.com/ru/companies/ruvds/articles/977782/?utm_source=habrahabr&utm_medium=rss&utm_campaign=977782,full_text,python
"Mon, 22 De",[Перевод] CSS Grid Lanes: будущее masonry-раскладок в вебе,https://habr.com/ru/articles/978882/?utm_source=habrahabr&utm_medium=rss&utm_campaign=978882,preview,"дизайн, web, веб"
"Mon, 22 De",[Перевод] Охота за недостающим типом данных: история о графах,https://habr.com/ru/articles/979220/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979220,full_text,"python, веб"
"Mon, 22 De",Как защитить веб-серверы от уязвимости CVE-2025-55182,https://habr.com/ru/companies/ussc/articles/979158/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979158,preview,веб
"Mon, 22 De",Как и зачем мы разработали систему анализа аномальных логов. Кейс MWS,https://habr.com/ru/companies/ru_mts/articles/977624/?utm_source=habrahabr&utm_medium=rss&utm_campaign=977624,preview,python
"Mon, 22 De",Неэффективная эффективность,https://habr.com/ru/articles/979096/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979096,full_text,дизайн
"Mon, 22 De",[Перевод] Более глубокий взгляд на старый UUIDv4 и новый UUIDv7 в PostgreSQL 18,https://habr.com/ru/companies/otus/articles/979212/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979212,full_text,веб
"Mon, 22 De",Разбираемся с новой мощной платой Orange Pi 6 Plus на базе Armv9 Cix P1 CD8160,https://habr.com/ru/companies/timeweb/articles/972254/?utm_source=habrahabr&utm_medium=rss&utm_campaign=972254,full_text,web
"Mon, 22 De",[Перевод] Конец кремниевой эры: почему квантовые компьютеры — наша последняя надежда,https://habr.com/ru/companies/bothub/articles/979200/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979200,full_text,веб
"Mon, 22 De",[Перевод] Manim: как создавать математические анимации в стиле 3Blue1Brown с помощью Python,https://habr.com/ru/articles/978902/?utm_source=habrahabr&utm_medium=rss&utm_campaign=978902,preview,python
"Mon, 22 De",Как «ИИ» (не)помогает мне разрабатывать игру Creepy Support,https://habr.com/ru/articles/979018/?utm_source=habrahabr&utm_medium=rss&utm_campaign=979018,full_text,"фото, веб, фотограф"
